ID,Personaje,Desbloqueado,Marcas
1,ISAAC,1,0,0,0,0,0,0,0,0,0,0
2,MAGDALANE,0,0,0,0,0,0,0,0,0,0,0
3,CAIN,0,0,0,0,0,0,0,0,0,0,0
4,JUDAS,0,0,0,0,0,0,0,0,0,0,0
5,???,0,0,0,0,0,0,0,0,0,0,0
6,EVE,0,0,0,0,0,0,0,0,0,0,0
7,SAMSON,0,0,0,0,0,0,0,0,0,0,0
8,AZAZEL,0,0,0,0,0,0,0,0,0,0,0
9,LAZARUS,0,0,0,0,0,0,0,0,0,0,0
10,EDEN,0,0,0,0,0,0,0,0,0,0,0
11,THE LOST,0,0,0,0,0,0,0,0,0,0,0
12,LILITH,0,0,0,0,0,0,0,0,0,0,0
13,THE KEEPER,0,0,0,0,0,0,0,0,0,0,0
14,APOLLYON,0,0,0,0,0,0,0,0,0,0,0
15,THE FORGOTTEN,0,0,0,0,0,0,0,0,0,0,0
